n,graphType,laplacianEntropy,adjacencyEntropy,entropyRatio,eulerCharacteristic,torusLatticeLaplacianRatio
52,Path Graph,101.227634,24.647673,4.106985,1,
52,Cycle Graph,104.001779,25.850281,4.023236,0,
52,Complete Bipartite,4440.990173,169.421020,26.212746,-624,
52,Star Graph,205.464673,28.078851,7.317417,1,
52,Random Tree,112.269870,27.135661,4.137355,1,
52,Lattice,252.961329,53.681837,4.712233,-37,
53,Complete Graph,10942.124514,205.464673,53.255503,-1325,
53,Path Graph,103.227625,25.253562,4.087646,1,
53,Cycle Graph,106.001712,26.033967,4.071670,0,
53,Complete Bipartite,4637.588616,173.648318,26.706787,-649,
53,Star Graph,210.425471,28.492824,7.385209,1,
53,Random Tree,114.818685,27.998760,4.100849,1,
53,Lattice,259.076222,55.142445,4.698309,-38,
54,Complete Graph,11416.472341,210.425471,54.254232,-1377,
54,Path Graph,105.227617,25.632241,4.105284,1,
54,Cycle Graph,108.001649,26.452975,4.082779,0,
54,Complete Bipartite,4842.760098,177.975191,27.210310,-675,
54,Star Graph,215.405139,28.904161,7.452392,1,
54,Random Tree,118.173376,27.625890,4.277632,1,
54,Lattice,265.189878,56.149675,4.722910,-39,
55,Complete Graph,11901.779560,215.405139,55.252997,-1430,
55,Path Graph,107.227610,26.235068,4.087186,1,
55,Cycle Graph,110.001590,27.018535,4.071338,0,
